date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-05-27,26.6,10.3,71.29,23.15,8.558333333333334,31.021200000000004,6.499274439386465,0.0,24.693615384615384
2022-05-28,26.5,12.8,62.86,23.18,9.504166666666666,31.4028,6.837322070410917,0.0,23.81675
2022-05-29,26.8,14.7,48.63,20.77,11.1875,30.4416,7.368956883472415,0.0,23.15702083333333
2022-05-30,24.5,11.0,76.35,19.25,10.820833333333333,28.256400000000003,6.338612432823492,0.0,22.6679375
2022-05-31,28.2,11.5,74.91,15.95,9.670833333333333,31.6332,7.184203842359609,0.0,22.310645833333336
2022-06-01,28.2,14.6,84.54,20.45,11.325,29.43648,7.083868832867109,0.0,21.88297916666667
2022-06-02,26.3,13.3,74.81,25.33,9.4125,23.768640000000005,5.850651194989477,0.0,21.450020833333337
2022-06-03,26.4,11.8,84.65,26.48,9.295833333333333,31.76928,6.5409706199421125,0.0,21.183229166666667
2022-06-04,26.2,11.8,65.75,16.6,10.633333333333333,31.7088,7.128906030316457,0.0,20.767875
2022-06-05,27.6,11.1,58.76,10.22,7.979166666666667,29.35872,6.74430987264451,1.8,20.33579166666667
2022-06-06,30.0,14.2,56.38,11.69,10.8625,32.15808,8.144536462645986,0.3,19.9995625
2022-06-07,30.8,15.5,40.5,14.63,10.141666666666667,31.81248,8.178902616694987,0.0,19.510479166666663
2022-06-08,28.4,17.0,60.07,21.75,12.208333333333334,28.07136,7.496906664531431,0.0,19.05995833333333
2022-06-09,28.9,15.8,66.61,32.24,9.020833333333334,29.903040000000004,6.830118656121028,0.0,18.749229166666662
2022-06-10,28.3,15.6,80.72,31.43,9.766666666666667,29.60064,6.685286967237412,0.0,18.3655
2022-06-11,28.2,16.1,48.35,21.14,11.545833333333334,31.82976,7.880478520323935,0.0,17.87397916666667
2022-06-12,30.9,16.1,36.82,12.12,11.604166666666666,31.458240000000004,8.664933004267004,0.0,17.421333333333333
2022-06-13,34.7,17.2,44.29,11.85,10.866666666666667,26.144640000000003,8.520891221848382,0.1,17.033041666666666
2022-06-14,34.4,19.6,41.76,10.99,8.408333333333333,24.17472,7.531717458919547,0.8,16.6308125
2022-06-15,32.6,19.4,48.73,16.24,11.6375,27.138240000000003,8.3556568355731,0.0,16.297854166666667
2022-06-16,32.9,18.6,52.96,17.56,11.7125,27.40608,8.336531632782691,0.0,16.013354166666666
2022-06-17,32.2,19.2,36.17,13.76,13.395833333333334,30.974400000000003,9.38648854130908,0.0,15.5761875
2022-06-18,32.0,19.3,41.79,15.58,14.079166666666666,29.02176,9.182933912904131,0.0,15.222729166666667
2022-06-19,29.8,16.4,46.16,11.3,15.641666666666666,32.27904,9.387078442312042,0.8,14.9064375
2022-06-20,31.2,15.9,42.05,14.75,13.916666666666666,31.24224,9.12115522003062,0.0,14.6345
2022-06-21,26.3,16.7,62.15,30.3,10.141666666666667,15.975360000000002,5.249417660011874,0.0,15.26925
2022-06-22,24.3,11.4,62.65,16.62,11.416666666666666,32.80608,7.085512027827982,0.0,18.117083333333333
2022-06-23,24.1,10.7,69.75,19.21,12.704166666666666,32.27904,7.000233945786185,0.0,17.985604166666665
2022-06-24,25.0,10.8,71.73,23.9,10.204166666666667,32.0976,6.658401847475304,0.4,17.2019375
2022-06-25,27.0,13.7,56.36,16.81,11.295833333333334,32.23584,7.604934845138782,5.7,16.268520833333334
2022-06-26,27.7,13.2,54.78,17.1,11.283333333333331,32.17536,7.703735090399976,1.9,15.469520833333334
2022-06-27,26.9,13.6,49.51,16.36,11.620833333333332,32.209920000000004,7.729460880811144,0.7,14.8496875
2022-06-28,28.6,12.2,91.8,22.76,7.649999999999999,31.976640000000003,6.686640652982044,0.4,14.482020833333335
2022-06-29,29.5,14.7,87.92,23.48,10.545833333333333,31.22496,7.273592363730135,0.0,14.133041666666664
2022-06-30,30.4,16.3,48.77,20.32,10.270833333333334,31.07808,7.895066966478994,0.0,13.741124999999998
2022-07-01,27.2,16.7,85.83,27.22,12.9875,31.2768,7.177997334240809,3.7,13.406666666666666
2022-07-02,29.3,14.9,91.42,33.79,9.879166666666666,31.38912,6.854652217163196,7.1,13.169145833333332
2022-07-03,33.1,17.3,78.51,19.79,11.241666666666667,25.81632,7.635576350188082,5.4,13.001979166666668
2022-07-04,33.6,17.4,79.02,13.28,10.2,29.13408,8.059313052872753,2.0,12.7501875
