date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-07-29,35.4,25.3,86.44,43.67,10.541666666666666,22.651200000000003,6.572029660412688,0.0,21.571375
2022-07-30,33.8,26.7,82.62,47.44,13.995833333333332,18.9576,6.277509030346209,0.191,21.088
2022-07-31,34.4,25.7,81.4,41.18,13.783333333333331,23.040000000000003,7.176950207946372,0.0,20.869645833333333
2022-08-01,35.5,23.9,83.18,34.2,9.4,23.2308,6.774791967653346,0.0,20.561375
2022-08-02,36.6,22.7,88.52,24.95,9.041666666666666,23.1876,7.017708436033749,3.005,20.1904375
2022-08-03,36.6,22.5,85.14,28.66,9.945833333333333,23.644800000000004,7.219755664846044,27.89,19.8228125
2022-08-04,35.4,22.3,76.36,27.72,10.020833333333334,21.528,6.9323277625910364,11.864,19.40702083333333
2022-08-05,36.2,22.9,80.87,25.27,11.4625,24.2532,7.758771507526549,0.0,19.108416666666667
2022-08-06,35.5,22.5,77.51,29.09,10.6375,24.912,7.452556687650688,0.0,18.819916666666668
2022-08-07,35.8,20.7,79.04,28.81,8.987499999999999,24.768000000000004,7.050883230015407,0.0,18.5523125
2022-08-08,36.0,20.9,85.63,30.26,9.2625,24.5232,6.987504083115089,0.0,18.299854166666663
2022-08-09,35.4,23.2,89.24,34.43,11.708333333333334,22.7088,6.961394490694678,0.0,18.088
2022-08-10,34.5,24.6,82.56,39.96,14.558333333333332,22.1904,7.141301571460616,0.912,17.918916666666664
2022-08-11,34.7,22.4,79.19,33.33,12.5375,23.3136,7.29137699622997,17.85,17.71077083333333
2022-08-12,37.6,21.6,84.54,21.88,7.816666666666666,20.073599999999995,6.473190998372533,6.676,17.488770833333334
2022-08-13,39.8,27.4,62.45,20.56,16.554166666666667,16.930799999999998,9.449992540496591,0.0,17.368
2022-08-14,38.7,23.1,64.57,22.19,8.458333333333334,21.5748,7.214283494121765,0.0,17.637125
2022-08-15,37.8,23.5,74.1,14.23,9.9375,19.89949090909091,7.474541039331995,0.0,17.65275
2022-08-16,36.7,21.4,82.84,20.24,9.116666666666667,23.796000000000003,7.223497591674944,0.0,17.383229166666666
2022-08-17,35.1,23.9,63.35,19.54,10.9,23.785200000000003,7.776306109400345,1.744,17.0770625
2022-08-18,34.3,21.5,74.5,22.1,8.491666666666667,22.489200000000004,6.580345119255273,6.894,16.877375
2022-08-19,33.4,22.0,84.68,35.23,9.175,22.8348,6.190771461852123,2.919,16.81475
2022-08-20,33.6,20.3,76.55,41.79,8.924999999999999,22.608000000000004,6.022775469947934,0.0,16.691625
