date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-05-27,26.6,10.3,71.29,23.15,8.558333333333334,31.021200000000004,6.499350588394392,0.0,30.91242787286064
2022-05-28,26.5,12.8,62.86,23.18,9.504166666666666,31.4028,6.837380554553469,0.0,30.118541666666665
2022-05-29,26.8,14.7,48.63,20.77,11.1875,30.4416,7.368959516605329,0.0,29.76601527777777
2022-05-30,24.5,11.0,76.35,19.25,10.820833333333333,28.256400000000003,6.338657047987096,0.0,29.501266666666663
2022-05-31,28.2,11.5,74.91,15.95,9.670833333333333,31.6332,7.184239933447836,0.0,29.37389027777778
2022-06-01,28.2,14.6,84.54,20.45,11.325,29.43648,7.083891326257342,0.0,29.26230555555556
2022-06-02,26.3,13.3,74.81,25.33,9.4125,23.768640000000005,5.850673330862371,0.0,29.048391666666667
2022-06-03,26.4,11.8,84.65,26.48,9.295833333333333,31.76928,6.5410651003593046,0.0,28.965765277777777
2022-06-04,26.2,11.8,65.75,16.6,10.633333333333333,31.7088,7.128944232871943,0.0,28.81598456260721
2022-06-05,27.6,11.1,58.76,10.22,7.979166666666667,29.35872,6.744334252708884,1.8,29.02724255319149
2022-06-07,30.8,15.5,40.5,14.63,10.141666666666667,31.81248,8.178859032360911,0.0,28.730447368421054
2022-06-08,28.4,17.0,60.07,21.75,12.208333333333334,28.07136,7.496876781801717,0.0,28.44950445103857
2022-06-09,28.9,15.8,66.61,32.24,9.020833333333334,29.903040000000004,6.830175118589239,0.0,28.37715105740181
2022-06-10,28.3,15.6,80.72,31.43,9.766666666666667,29.60064,6.685351723385631,0.0,28.27238255033557
2022-06-11,28.2,16.1,48.35,21.14,11.545833333333334,31.82976,7.880470490099265,0.0,27.822265789473683
2022-06-12,30.9,16.1,36.82,12.12,11.604166666666666,31.458240000000004,8.664846523246753,0.0,27.5509173553719
2022-06-13,34.7,17.2,44.29,11.85,10.866666666666667,26.144640000000003,8.520734999670733,0.1,27.3673309352518
2022-06-14,34.4,19.6,41.76,10.99,8.408333333333333,24.17472,7.531597941236433,0.8,27.20019277108433
2022-06-15,32.6,19.4,48.73,16.24,11.6375,27.138240000000003,8.355538879196219,0.0,26.523845588235293
2022-06-16,32.9,18.6,52.96,17.56,11.7125,27.40608,8.336423004705214,0.0,26.292038793103448
2022-06-17,32.2,19.2,36.17,13.76,13.395833333333334,30.974400000000003,9.38634612013953,0.0,26.160281124497992
2022-06-18,32.0,19.3,41.79,15.58,14.079166666666666,29.02176,9.182785996771443,0.0,25.87502403846154
2022-06-19,29.8,16.4,46.16,11.3,15.641666666666666,32.27904,9.386967654811905,0.8,25.317768786127168
2022-06-20,31.2,15.9,42.05,14.75,13.916666666666666,31.24224,9.121045455528115,0.0,25.089851211072663
