date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-05-13,23.8,12.2,70.54,35.5,5.820833333333333,27.6372,5.1752159442437415,0.4,15.19759375
2022-05-14,23.3,15.7,52.98,32.72,5.795833333333333,29.6316,5.644237893136132,0.2,14.985208333333333
2022-05-15,23.9,15.9,59.21,25.43,6.229166666666667,25.394400000000005,5.363708542397736,0.0,14.663208333333332
2022-05-16,24.4,12.8,76.12,40.96,6.854166666666667,30.1896,5.573485647198554,0.0,14.3904375
2022-05-17,26.0,14.0,80.1,41.6,5.570833333333333,30.4488,5.657901675173592,0.0,14.132083333333334
2022-05-18,26.7,16.6,61.97,28.27,6.854166666666667,30.276000000000003,6.291998325331558,0.0,13.8264375
2022-05-19,26.4,15.0,53.35,27.91,12.204166666666666,30.2292,7.173157724454119,0.0,13.558125
2022-05-20,26.7,17.4,60.15,32.66,12.341666666666669,28.944000000000003,6.989185031247208,0.0,13.285958333333332
2022-05-21,28.5,17.0,57.63,19.78,10.645833333333334,27.2124,7.157177491780688,0.0,13.069041666666664
2022-05-22,28.9,19.7,47.72,17.48,7.391666666666667,26.1648,6.586007823778616,0.1,12.888541666666669
2022-05-23,27.0,14.0,79.48,22.06,13.829166666666667,30.9168,7.350859212782709,0.3,12.777833333333334
2022-05-24,24.9,14.4,66.77,25.51,17.45,30.513600000000004,7.456324160779085,0.0,12.6535625
2022-05-25,20.9,10.8,86.37,25.82,8.304166666666667,31.590000000000003,5.576589303804004,1.4,12.504062500000002
2022-05-26,19.3,8.9,91.67,41.74,7.170833333333333,31.32,4.911733624320469,1.7,12.4560625
2022-05-27,24.1,11.2,60.78,30.56,6.741666666666667,31.2768,5.881436296669904,0.1,12.349416666666668
2022-05-28,24.0,15.4,54.87,32.01,7.712499999999999,29.6028,6.064749699542628,0.0,12.203604166666668
2022-05-29,27.0,15.9,52.88,22.14,9.445833333333333,30.067200000000003,6.998680719601332,0.0,12.021
2022-05-30,25.7,12.1,80.25,25.36,14.208333333333334,28.555200000000003,6.783804414207876,0.0,11.827729166666666
2022-05-31,25.8,13.7,63.5,29.56,7.620833333333334,31.2768,6.332972386957268,0.0,11.664270833333331
2022-06-01,27.0,15.0,76.5,31.34,7.283333333333334,31.04352,6.326965658385314,0.0,11.496125
2022-06-02,27.3,14.3,86.31,30.88,8.1,26.3088,5.827800799477476,0.0,11.317666666666668
2022-06-03,24.5,13.5,72.23,30.6,7.366666666666667,31.328640000000004,6.063950649525009,0.0,11.1683125
2022-06-04,26.4,13.7,61.85,28.05,10.3,31.33728,6.887846504346218,0.0,11.01475
2022-06-05,24.9,12.3,57.3,27.03,8.479166666666666,28.2528,6.096607732057587,0.0,10.837000000000002
2022-06-06,26.7,14.7,62.6,24.91,6.5875,31.74336,6.445693356797456,0.2,10.6866875
2022-06-07,30.0,15.6,53.25,16.76,7.783333333333334,31.968,7.343671394162283,0.0,10.464270833333334
2022-06-08,29.8,19.1,50.56,19.67,15.608333333333334,29.48832,8.83882576963736,0.0,10.271854166666666
2022-06-09,27.7,16.7,70.03,36.04,6.925,30.594240000000003,6.368595106672321,0.0,10.072083333333332
2022-06-10,25.7,15.3,85.7,40.85,7.191666666666666,31.1472,5.983592360462494,0.0,9.916520833333331
2022-06-11,26.8,14.6,65.17,24.17,9.333333333333334,31.72608,6.937465286488526,0.0,9.738875
2022-06-12,29.0,16.1,47.8,13.16,9.204166666666667,31.48416,7.639235958437844,0.0,9.515520833333332
2022-06-13,31.9,16.2,51.95,16.61,6.5625,29.21184,6.976597070160096,0.1,9.089270833333334
2022-06-14,34.1,23.3,33.39,11.85,4.845833333333333,29.16,6.8844352320969024,0.3,8.818645833333333
2022-06-15,32.2,19.8,42.52,19.58,8.495833333333334,28.814400000000003,7.653705606293472,0.0,8.631395833333334
2022-06-16,32.3,20.0,42.36,24.0,8.729166666666666,28.131840000000004,7.576441156834263,0.0,8.4649375
