date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda,ssm
2023-01-04,12.6,3.8,100.0,57.07,4.875,123.04166666666669,0.9895281297482336,0.0,18.479229166666663,28.5
2023-01-16,8.0,2.9,93.07,69.2,34.608333333333334,94.625,1.3547927730789988,0.0,17.401354166666668,52.0
2023-01-28,6.7,-4.2,94.36,39.57,4.991666666666666,152.33333333333334,1.1644380540413577,0.0,17.338208333333334,48.0
2023-02-09,6.3,1.9,93.79,69.35,9.925,37.3,0.9225960772536776,0.1,26.193458333333336,57.5
2023-02-21,17.2,6.6,89.71,36.27,4.425,170.7,2.1600627312335,0.0,21.6480625,32.5
2023-03-05,12.9,0.8,79.74,27.54,9.0625,177.3,2.6793284996161844,0.0,18.51970833333333,43.5
2023-03-17,18.1,7.7,67.58,19.89,8.433333333333334,230.4,3.842363931593998,0.1,15.957520833333334,67.5
2023-03-29,20.7,6.6,88.38,18.2,6.0125,284.5,4.097690628522443,0.0,14.020020833333334,75.0
2023-04-10,25.4,11.4,40.91,11.67,11.670833333333334,300.2,6.643265464555084,2.6,12.413645833333334,88.5
2023-04-22,20.8,9.3,81.56,30.84,11.041666666666666,250.5,4.642338408083959,0.0,11.669520833333335,89.0
2023-05-04,23.8,11.6,67.14,21.21,7.683333333333334,235.4,4.9152899907401695,0.0,11.124895833333332,96.5
2023-05-16,21.6,8.3,68.6,21.34,9.116666666666667,362.7,5.842766579290863,0.0,19.286166666666663,46.0
2023-05-28,15.5,9.5,98.04,68.74,5.154166666666667,258.2,3.2821748455734627,0.0,32.9211875,80.5
2023-06-09,22.2,13.1,98.71,41.42,12.766666666666666,356.5,5.574308974490046,0.3,31.252916666666668,81.0
2023-06-21,23.2,17.4,88.64,53.93,6.541666666666667,305.5,4.980733026250808,1.0,18.33310416666667,44.0
2023-07-03,28.2,18.5,78.54,46.43,8.262500000000001,352.8,6.406150470121939,1.1,15.975770833333334,57.5
2023-07-15,31.4,20.0,94.02,24.36,8.183333333333334,357.3,7.135650549341284,0.0,13.430437499999998,82.5
2023-07-27,27.1,17.1,95.7,41.28,9.3125,334.8,5.934350054739043,0.0,12.834354166666666,81.0
2023-08-08,29.8,17.4,100.0,33.17,5.1375,289.0,5.290137063436543,0.0,12.417145833333334,81.5
2023-08-20,31.7,21.5,51.44,22.47,6.9375,308.6,6.495123482836198,0.7,12.107625,92.5
2023-09-01,24.8,16.0,79.46,28.44,6.579166666666667,245.4,4.551258436273854,0.0,16.708166666666667,41.0
2023-09-13,23.1,14.4,96.27,57.29,6.629166666666666,243.9,3.6431959636835978,0.0,19.461916666666667,20.5
2023-09-25,23.9,12.8,98.73,29.36,6.983333333333333,250.5,3.991624645117773,5.9,17.703166666666664,36.5
2023-10-07,25.2,15.0,86.81,29.38,7.083333333333333,209.3,3.751643322156811,0.1,15.356125,65.0
2023-10-19,21.3,12.8,90.15,40.95,19.3375,176.8,3.894488280348555,2.2,15.853729166666668,62.0
2023-10-31,11.9,7.1,80.9,48.43,5.970833333333334,83.8,1.5245674802052862,0.0,17.915833333333335,37.5
2023-11-12,17.9,10.1,85.66,56.35,11.908333333333331,148.6,2.205140683769621,0.0,16.530083333333334,48.5
2023-11-24,17.7,2.5,71.17,15.46,5.8875,138.2,2.067786517563008,0.0,15.817208333333332,51.5
2023-12-06,10.2,4.4,99.31,76.75,3.483333333333333,47.3,0.6506120870466767,0.0,15.835104166666667,48.5
2023-12-18,10.7,-0.9,71.0,42.29,6.591666666666666,121.0,1.3069621097062682,0.0,16.334395833333335,42.0
2023-12-30,14.7,4.4,55.97,25.42,5.641666666666667,120.9,1.6754338479420563,0.0,15.787458333333332,62.0
