date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda,ssm
2023-01-04,17.1,7.7,99.32,59.66,4.375,89.04166666666667,1.0454637428460734,0.0,19.9391875,6.0
2023-01-16,20.1,5.7,80.94,27.83,11.266666666666666,100.75,2.957107642042728,1.129,18.644541666666665,24.5
2023-01-28,13.3,0.9,70.13,28.37,4.8375,138.125,1.6205132635106456,1.273,17.864145833333335,6.5
2023-02-09,13.0,7.2,93.53,53.05,6.695833333333334,60.708333333333336,1.3752752262894463,0.0,29.9784375,80.0
2023-02-21,21.0,6.3,96.64,45.85,5.083333333333333,127.70833333333331,2.087080404520468,0.0,29.700979166666663,34.5
2023-03-05,19.1,2.4,92.32,20.12,4.4750000000000005,137.54166666666666,2.409545225102576,0.0,24.722375,6.0
2023-03-17,23.2,7.0,87.69,33.01,6.454166666666667,217.66666666666663,3.554494921164057,0.0,19.543666666666667,26.0
2023-03-29,25.0,10.0,91.67,22.66,6.1875,255.875,4.303803059585654,0.0,16.482895833333334,25.5
2023-04-10,30.5,10.6,89.56,24.87,9.2625,246.66666666666663,5.693350138023896,0.145,14.081666666666663,56.5
2023-04-22,27.5,13.5,93.69,23.5,6.941666666666666,126.5,3.854272333419676,0.0,12.2823125,56.0
2023-05-04,29.3,13.6,78.08,26.42,7.895833333333333,265.875,5.687769163687915,0.0,14.152020833333331,48.5
2023-05-16,27.3,15.1,84.02,16.77,15.704166666666666,341.375,7.635139029572013,0.0,17.71741666666667,31.5
2023-05-28,25.3,15.3,93.8,47.11,6.7875000000000005,189.0833333333333,3.8267015711119208,0.0,33.49191666666667,96.0
2023-06-09,29.8,18.5,96.92,41.75,6.183333333333334,170.66666666666666,4.040562774729745,0.653,31.78916666666667,96.5
2023-06-21,31.9,18.5,83.75,43.1,8.395833333333334,130.04166666666666,4.245420421729448,0.364,18.13675,46.5
2023-07-03,34.2,22.4,73.57,34.23,11.079166666666666,159.45833333333334,5.8662544470093225,0.0,14.4333125,55.5
2023-07-15,38.2,24.7,84.46,29.58,8.608333333333333,304.25,7.613231066858149,0.0,11.8203125,69.0
2023-07-27,34.6,24.9,87.1,40.03,8.975,289.7083333333333,6.675944268457279,0.0,11.147958333333332,84.5
2023-08-08,33.1,22.4,82.45,39.77,10.433333333333334,262.2083333333333,6.32753797457636,0.0,10.300583333333334,64.5
2023-08-20,36.3,25.6,87.66,38.02,9.3375,251.0833333333333,6.375647540779204,0.0,9.997708333333334,67.5
2023-09-01,31.3,19.2,85.41,33.91,8.3375,209.125,5.0594949527852044,0.0,11.221520833333336,53.5
2023-09-13,29.2,20.2,93.98,55.63,9.145833333333334,184.625,3.916482306847949,0.0,21.89314583333333,53.5
2023-09-25,29.0,13.6,89.56,39.9,6.925,232.04166666666663,4.22414619199151,15.061,21.9094375,26.5
2023-10-07,30.4,18.4,95.74,48.1,9.354166666666666,188.04166666666663,3.979068014386543,0.109,18.64425,37.5
2023-10-19,27.2,18.6,78.05,39.88,10.645833333333334,86.70833333333333,3.525553157247726,0.0,17.373479166666666,57.0
2023-10-31,20.9,12.4,64.29,37.92,5.091666666666667,68.58333333333333,2.090216964188764,0.0,16.697125,35.0
2023-11-12,27.1,14.4,74.9,38.84,8.929166666666667,144.83333333333334,3.201034103689956,0.0,16.156708333333334,35.5
2023-11-24,21.4,2.6,69.44,18.47,6.441666666666666,131.58333333333334,2.447092303850154,0.0,15.454604166666668,17.5
2023-12-06,13.8,9.7,93.02,72.49,3.0708333333333333,40.708333333333336,0.7599117729172125,0.0,15.3245,52.5
2023-12-18,16.1,4.7,78.12,36.05,6.045833333333333,77.83333333333333,1.5963839553050527,0.0,15.1304375,15.0
2023-12-30,20.9,5.7,87.4,22.02,4.266666666666667,96.20833333333331,1.6303933789853835,0.0,15.113604166666669,29.5
