date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda,ssm
2023-01-04,12.6,3.8,100.0,57.07,4.875,123.04166666666669,0.9868832223511872,0.0,15.812416666666666,19.5
2023-01-16,8.0,2.9,93.07,69.2,34.608333333333334,94.625,1.354319600655193,0.0,14.2265625,43.5
2023-01-28,6.7,-4.2,94.36,39.57,4.991666666666666,152.33333333333334,1.161166800173537,0.0,13.2945,45.5
2023-02-09,6.3,1.9,93.79,69.35,9.925,37.3,0.9213378869124492,0.1,18.11339583333333,62.5
2023-02-21,17.2,6.6,89.71,36.27,4.425,170.7,2.155914331790078,0.0,17.859458333333333,25.5
2023-03-05,12.9,0.8,79.74,27.54,9.0625,177.3,2.6770184631227627,0.0,14.001395833333332,40.5
2023-03-17,18.1,7.7,67.58,19.89,8.433333333333334,230.4,3.840364312310228,0.1,12.444375,68.0
2023-03-29,20.7,6.6,88.38,18.2,6.0125,284.5,4.091377890562341,0.0,11.135979166666669,72.5
2023-04-10,25.4,11.4,40.91,11.67,11.670833333333334,300.2,6.647610964524279,2.6,9.7573125,88.0
2023-04-22,20.8,9.3,81.56,30.84,11.041666666666666,250.5,4.639001824379688,0.0,8.612416666666666,90.0
2023-05-04,23.8,11.6,67.14,21.21,7.683333333333334,235.4,4.913827752518218,0.0,7.727020833333333,97.0
2023-05-16,21.6,8.3,68.6,21.34,9.116666666666667,362.7,5.835261959093781,0.0,15.575145833333332,31.0
2023-05-28,15.5,9.5,98.04,68.74,5.154166666666667,258.2,3.269744088679035,0.0,28.136416666666666,87.0
2023-06-09,22.2,13.1,98.71,41.42,12.766666666666666,356.5,5.564016875439575,0.3,27.806729166666667,85.0
2023-06-21,23.2,17.4,88.64,53.93,6.541666666666667,305.5,4.969684405960853,1.0,15.358875,36.0
2023-07-03,28.2,18.5,78.54,46.43,8.262500000000001,352.8,6.39753737398555,1.1,12.091625,58.0
2023-07-15,31.4,20.0,94.02,24.36,8.183333333333334,357.3,7.131041247978899,0.0,8.580208333333333,83.0
2023-07-27,27.1,17.1,95.7,41.28,9.3125,334.8,5.9261619912146655,0.0,6.7906458333333335,81.5
2023-08-08,29.8,17.4,100.0,33.17,5.1375,289.0,5.283133214298887,0.0,6.0248333333333335,84.5
2023-08-20,31.7,21.5,51.44,22.47,6.9375,308.6,6.495938709549431,0.7,5.186,96.0
2023-09-01,24.8,16.0,79.46,28.44,6.579166666666667,245.4,4.547739512943753,0.0,17.024083333333333,30.5
2023-09-13,23.1,14.4,96.27,57.29,6.629166666666666,243.9,3.635072949814109,0.0,17.090333333333334,29.0
2023-09-25,23.9,12.8,98.73,29.36,6.983333333333333,250.5,3.987265546157939,5.9,15.980833333333337,28.0
2023-10-07,25.2,15.0,86.81,29.38,7.083333333333333,209.3,3.7507559950525353,0.1,12.3623125,52.0
2023-10-19,21.3,12.8,90.15,40.95,19.3375,176.8,3.896969465169884,2.2,10.767854166666666,53.0
2023-10-31,11.9,7.1,80.9,48.43,5.970833333333334,83.8,1.523278307710742,0.0,11.394583333333337,33.0
2023-11-12,17.9,10.1,85.66,56.35,11.908333333333331,148.6,2.2047002394492576,0.0,10.563041666666669,44.0
2023-11-24,17.7,2.5,71.17,15.46,5.8875,138.2,2.069921773244798,0.0,9.515645833333332,48.5
2023-12-06,10.2,4.4,99.31,76.75,3.483333333333333,47.3,0.6483093298545812,0.0,9.285270833333334,56.5
2023-12-18,10.7,-0.9,71.0,42.29,6.591666666666666,121.0,1.3066740308587437,0.0,9.324625,43.5
2023-12-30,14.7,4.4,55.97,25.42,5.641666666666667,120.9,1.6770367837178914,0.0,9.110666666666669,62.0
