date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2023-01-04,12.6,3.8,100.0,57.07,4.875,10.630800000000002,0.9895281297482336,0.0,18.479229166666663
2023-01-05,10.7,1.8,100.0,64.15,4.929166666666666,10.695600000000002,0.8654437494621323,0.0,18.498395833333333
2023-01-06,13.7,1.7,94.02,47.12,5.691666666666666,10.8108,1.242074726231701,0.0,18.45745833333333
2023-01-07,13.4,2.8,96.51,31.22,12.020833333333334,11.0772,2.050091951788745,0.0,18.36764583333333
2023-01-08,13.1,6.3,88.04,68.8,32.9125,1.242,1.7898582713124416,0.0,18.147729166666668
2023-01-09,14.3,8.5,87.84,58.61,26.195833333333336,6.8364,2.1959053019171164,0.0,17.95660416666667
2023-01-10,16.3,5.6,93.96,34.48,7.195833333333333,10.9152,1.7467221761306813,0.0,17.886187500000002
2023-01-11,15.4,5.6,84.73,38.14,7.479166666666667,10.796399999999998,1.748047933977289,0.8,17.829520833333333
2023-01-12,13.7,3.4,100.0,44.84,5.320833333333334,11.2464,1.253542527453417,1.5,17.771270833333332
2023-01-13,15.9,2.9,89.25,18.3,5.15,11.0016,1.6751542999644025,0.0,17.72191666666667
2023-01-14,16.2,3.9,66.65,12.98,6.325,11.4588,2.094650148543199,0.1,17.618958333333335
2023-01-15,13.0,4.7,81.81,45.55,17.8125,10.954800000000002,2.2972228594746174,0.0,17.497770833333334
2023-01-16,8.0,2.9,93.07,69.2,34.608333333333334,8.175600000000001,1.3547927730789988,0.0,17.401354166666668
2023-01-17,11.0,4.6,84.06,59.02,44.62916666666666,5.904,2.290705946932744,0.0,17.333875000000003
2023-01-18,4.3,0.0,85.98,52.18,24.98333333333333,10.555200000000005,1.54900986405309,0.0,17.6850625
2023-01-19,6.3,-1.8,76.99,30.77,17.291666666666668,12.0672,2.0422073688815945,0.8,18.097479166666663
2023-01-20,11.6,2.9,94.53,55.53,15.766666666666666,9.1476,1.6536020758467256,1.7,18.154520833333333
2023-01-21,10.8,1.5,95.22,52.27,7.958333333333333,7.898400000000002,1.289795234055737,0.0,18.034458333333333
2023-01-22,5.8,-1.9,60.61,26.76,8.533333333333333,12.942,1.6642401884467106,0.0,17.897895833333333
2023-01-23,4.6,-3.0,66.02,38.61,7.845833333333332,12.744000000000002,1.3763829173122506,5.4,17.7338125
2023-01-24,3.1,-4.2,93.63,55.81,8.583333333333334,10.933200000000005,0.9729446442044588,0.7,17.6579375
2023-01-25,5.6,-2.3,88.86,49.3,10.545833333333333,12.319200000000002,1.3086049272135416,0.0,17.592270833333334
2023-01-26,4.8,-1.4,79.52,47.97,11.858333333333334,9.4644,1.404579579997192,0.0,17.553
2023-01-27,6.9,-2.5,86.78,39.94,9.641666666666667,13.032000000000002,1.511785719984277,0.0,17.442
2023-01-28,6.7,-4.2,94.36,39.57,4.991666666666666,13.161600000000002,1.1644380540413577,0.0,17.338208333333334
2023-01-29,6.2,-3.7,92.34,38.2,7.104166666666667,12.942,1.318942185278866,0.0,17.348333333333333
2023-01-30,6.7,-1.9,97.12,50.36,7.491666666666667,13.4172,1.23261470731714,0.0,17.600041666666666
