date,temp_min,temp_avg,temp_max,humidity_min,humidity_avg,humidity_max,windspeed_avg,precip,solar_radiation_avg,ETo,humedad_sonda,ssm
2023-01-04,0.3372243839169909,0.28432956381260094,0.32461393003466743,0.4920049200492005,0.8438818565400844,0.9830508474576272,0.025,0.0,0.29866858582223826,0.011404468220207815,0.3283672340370784,0.29381443298969073
2023-01-16,0.3988326848249027,0.23909531502423265,0.11345729593444687,0.6396063960639606,0.7313642756680732,0.7796610169491526,0.4625,0.0,0.28427491903562435,0.06076095759783506,0.30174173710551033,0.5360824742268041
2023-01-28,0.17509727626459143,0.09369951534733441,0.1260636621493854,0.1968019680196802,0.4219409282700422,0.5254237288135594,0.0625,0.0,0.3886290032385751,0.03236188975431989,0.3001819187669664,0.4948453608247423
2023-02-09,0.40531776913099865,0.2197092084006462,0.08509297195083514,0.7995079950799509,0.9563994374120958,0.9830508474576272,0.075,0.02727272727272727,0.1583303346527528,0.04539843661074699,0.5189228968054859,0.5927835051546392
2023-02-21,0.43774319066147854,0.3974151857835218,0.42861645130791043,0.3075030750307503,0.6188466947960619,0.8813559322033898,0.025,0.013636363636363636,0.3778337531486146,0.11910124331120842,0.40664325137982943,0.33505154639175255
2023-03-05,0.25616083009079116,0.28432956381260094,0.3687362117869524,0.15990159901599016,0.4360056258790436,0.9830508474576272,0.0875,0.08636363636363636,0.3094638359121986,0.12419028480034706,0.3293671439782829,0.4484536082474227
2023-03-17,0.4312581063553826,0.42326332794830374,0.49479987393633784,0.17220172201722017,0.3375527426160338,0.4915254237288136,0.1625,0.0,0.6225260885210506,0.2677899152569794,0.26607639558969215,0.6958762886597938
2023-03-29,0.35992217898832685,0.39418416801292405,0.589347620548377,0.06150061500615006,0.22503516174402252,0.7966101694915254,0.0,0.0,0.791651673263764,0.2899868610899091,0.21821657853770246,0.7731958762886598
2023-04-10,0.625810635538262,0.6688206785137318,0.7469271982351088,0.06150061500615006,0.0,0.0847457627118644,0.1125,0.0,0.7880532565671104,0.3959603451033323,0.17853615860640448,0.9123711340206185
2023-04-22,0.5836575875486381,0.5751211631663975,0.5672864796722344,0.23370233702337023,0.3234880450070324,0.4915254237288136,0.1,0.0,0.6153292551277437,0.3421435071845233,0.1601549011283081,0.9175257731958762
2023-05-04,0.5836575875486381,0.6203554119547657,0.674440592499212,0.08610086100861009,0.1969057665260197,0.22033898305084745,0.0875,0.0,0.8168405901403383,0.43106299776038376,0.14670166094150033,0.9948453608247423
2023-05-16,0.61284046692607,0.6009693053311793,0.7059565080365583,0.06150061500615006,0.15471167369901548,0.5423728813559322,0.1,0.0,0.9859661748830514,0.530734528768552,0.348300075906699,0.4742268041237113
2023-05-28,0.6647211413748378,0.6720516962843296,0.6965017333753545,0.2829028290282903,0.48523206751054854,0.7288135593220338,0.175,0.0,0.39942425332853543,0.32298586120403666,0.6851101933690996,0.8298969072164949
2023-06-09,0.8333333333333334,0.704361873990307,0.6019539867633155,0.3936039360393604,0.7032348804500704,0.9830508474576272,0.1375,0.013636363636363636,0.8348326736236056,0.5356208792901903,0.6439008324005815,0.8350515463917526
2023-06-21,0.8657587548638133,0.7657512116316639,0.7721399306649858,0.2952029520295203,0.46413502109704646,0.5932203389830508,0.1,0.0,0.5721482547679021,0.419692019600291,0.32475767751231877,0.4536082474226804
2023-07-03,0.8203631647211412,0.8303715670436187,0.8320201701859438,0.2829028290282903,0.4360056258790436,0.5932203389830508,0.0625,0.0,0.9679740913997841,0.6160380453432852,0.26652720418902054,0.5927835051546392
2023-07-15,0.9176394293125809,0.9337641357027463,0.9927513394264103,0.06150061500615006,0.15471167369901548,0.7627118644067796,0.075,0.0,0.9787693414897445,0.6368627764313984,0.2036527847466131,0.8505154639175257
2023-08-08,0.9208819714656289,0.8852988691437803,0.9360226914591868,0.15990159901599016,0.4781997187060479,0.8305084745762712,0.025,0.0,0.7952500899604174,0.514250791203819,0.17862261505011132,0.8402061855670103
2023-08-20,0.8365758754863811,0.8949919224555735,0.9675386069965333,0.06150061500615006,0.1828410689170183,0.1864406779661017,0.05,0.0,0.8312342569269521,0.4585354935944087,0.17097688062063376,0.9536082474226805
2023-09-01,0.7101167315175096,0.704361873990307,0.7469271982351088,0.23370233702337023,0.45007032348804504,0.6440677966101694,0.05,0.0,0.647715005397625,0.36291236315878944,0.28461872965636137,0.422680412371134
2023-09-13,0.8398184176394292,0.7172859450726979,0.7185628742514968,0.33210332103321033,0.7172995780590717,0.9491525423728814,0.0875,0.35454545454545455,0.5469593378913279,0.3365738287371372,0.3526414244728344,0.211340206185567
2023-09-25,0.5771725032425421,0.6235864297253635,0.6586826347305388,0.2091020910209102,0.6329113924050633,0.8983050847457628,0.1,0.0,0.6765023389708528,0.30848367099951707,0.3091970615101573,0.37628865979381443
2023-10-07,0.5642023346303501,0.6138933764135703,0.6807437756066813,0.23370233702337023,0.5485232067510549,0.8135593220338984,0.15,0.0,0.593738754947823,0.26699691500539446,0.2512208113010923,0.6701030927835051
2023-10-19,0.6582360570687419,0.5654281098546042,0.4853450992751339,0.5535055350553506,0.6610407876230662,0.864406779661017,0.325,0.20454545454545456,0.29866858582223826,0.17292801433633773,0.26351255033643395,0.6391752577319587
2023-10-31,0.43450064850843056,0.38449111470113084,0.23321777497636303,0.4797047970479705,0.6329113924050633,0.864406779661017,0.0875,0.009090909090909092,0.09715725080964376,0.05026830255337427,0.31445031970872417,0.3865979381443299
