date,temp_min,temp_avg,temp_max,humidity_min,humidity_avg,humidity_max,windspeed_avg,precip,solar_radiation_avg,ETo,humedad_sonda
2023-02-09,3.6,5.6,9.1,70.0,91.0,99.0,0.6,0.6,7.5,0.8586476492249012,26.193458333333336
2023-02-10,1.9,3.4,6.3,52.0,86.0,99.0,1.9,0.3,7.4,0.8910263955845292,26.762104166666663
2023-02-11,2.2,4.3,8.0,71.0,94.0,99.0,2.0,1.8,5.2,0.7812698783709109,27.831041666666668
2023-02-12,4.4,6.2,8.5,70.0,92.0,99.0,1.1,0.6,5.8,0.8182062321632362,27.904208333333333
2023-02-13,3.6,5.4,7.0,79.0,90.0,98.0,0.7,0.0,7.4,0.8503275687639468,26.38058333333333
2023-02-14,4.0,5.4,6.6,86.0,90.0,94.0,1.2,0.0,5.4,0.7542098400575589,25.70414583333333
2023-02-15,5.5,6.6,8.1,80.0,91.0,98.0,1.1,0.0,3.8,0.7149260696653624,25.218979166666667
2023-02-16,5.6,7.8,11.4,51.0,79.0,98.0,0.5,0.0,11.5,1.1975009570019175,24.60952083333333
2023-02-17,2.8,7.0,11.9,44.0,76.0,99.0,0.9,0.6,8.5,1.0631262156057069,23.9015
2023-02-18,3.4,8.0,14.3,43.0,67.0,86.0,0.5,0.0,7.2,1.0124859066498595,23.34158333333333
2023-02-19,0.5,7.2,15.2,32.0,65.0,87.0,0.5,0.0,10.5,1.1598707203032694,22.760041666666663
2023-02-20,1.5,8.8,18.5,21.0,54.0,82.0,0.4,0.0,12.4,1.2880178768483168,22.178541666666664
2023-02-21,4.6,11.1,20.0,30.0,67.0,93.0,0.2,0.3,13.6,1.4408998221585465,21.6480625
2023-02-22,2.8,10.6,20.4,18.0,62.0,95.0,0.4,0.0,16.5,1.5767355049446938,21.148333333333333
2023-02-23,2.7,9.3,17.1,24.0,61.0,89.0,1.0,0.0,17.4,1.728782138160249,20.688895833333333
2023-02-24,0.8,5.5,13.3,31.0,51.0,70.0,1.2,0.0,15.7,1.5627726749960382,20.33233333333333
2023-02-25,0.5,4.2,9.6,34.0,54.0,73.0,1.8,0.0,10.9,1.33390148949873,20.103166666666667
2023-02-26,1.6,4.8,9.3,50.0,78.0,99.0,2.9,0.9,17.6,1.6801481293998053,20.143541666666668
2023-02-27,-1.1,3.9,9.9,19.0,48.0,84.0,1.9,0.0,19.6,1.7629160959293848,19.941625
2023-02-28,-2.7,3.7,14.5,19.0,37.0,54.0,1.5,0.0,19.7,1.8413134941709504,19.692104166666667
2023-03-01,-4.8,3.8,13.1,19.0,41.0,67.0,0.7,0.0,19.4,1.5920543266989562,19.422479166666665
2023-03-02,-2.9,3.8,13.4,19.0,38.0,58.0,0.9,0.0,19.2,1.6840432889057857,19.19125
2023-03-03,-0.8,6.6,18.5,17.0,41.0,72.0,0.9,0.0,19.9,1.9331417822593089,18.953979166666667
2023-03-04,-4.6,5.0,16.2,19.0,58.0,80.0,0.8,0.0,20.4,1.827217410650632,18.70147916666667
